web-scraper-order,name_en,company_games,company_description,company_descr_country,company_descr_city,link,top_level_domain,tld_country,link_geoip
1521882197-99,Mitchell,,"Mitchell Corporation (株式会社ミッチェル) is a company headed by Roy Ozaki (尾崎ロイ). [1] It was established on February 1, 1960, by his father and was originally involved in ship building. After his father died, Ozaki and his partner Koichi Niida (仁井田耕一), both of whom previously worked for Data East and TAD, took over in the late 1980s and began distributing arcade PCBs.[1]",[],[],,,,
1521882423-209,Fun Project,,"Fun Project, Inc. (株式会社ファン・プロジェクト) Appears to have splintered off of MagicalZoo (The Screamer), part of Stratford Computer Center, around 1986.",[],[],,,,
1521882484-239,Double Diamond Sports,,"Double Diamond Sports (true name Double Diamond Software, Inc.) was incorporated on May 14, 1993. [1] It was co-founded by Mark Lesser and Michael Brook. Most of the personnel (with the notable exception of Lesser) went on to Spectacular Games. [2]",[],['Most'],,,,
1521882542-267,Computer Magic,,"Computer Magic, Ltd. was a Long Island, New York, United States-based software house incorporated on February 26, 1980, and dissolved on September 28, 1994. [1] It is not to be confused with the Atari 2600 third-party publisher Computer Magic Inc. (aka CommaVid) [2] and is probably not to be confused with the publisher of Volcano for the ZX Spectrum.",['United States'],"['Long Island', 'New York']",,,,
1521882466-230,Eleca,,"Eleca Co., Ltd. (エレカ) or Electronics Application Co., Ltd. (株式会社エレクトロニクスアプリケーション) was established on December 3, 1980. [1] Sakae Hamada (濱田榮) was the president. [2]",[],[],,,,
1521882310-154,James Wickstead Design Associates,,"Product design and development company started in 1968. Based in Cedar Knolls, New Jersey.",[],[],http://www.wicksteaddesign.com/,,,
1521882628-309,Avit,,"Avit, Inc. (株式会社エイビット) was started by former members of Technos Japan's Niigata office. [1] It was originally established on December 27, 1995, as Audio Video Interactive Technology (株式会社オーディオ・ビデオ・インターラクティブ・テクノロジー) and was renamed Avit on March 21, 1996. [2]",[],['March'],,,,
1521882663-324,Arc Developments,,Not to be confused with the Japanese game developer Arc System Works,[],[],,,,
1521882492-243,Digital Dialect,,Development company started by Michael Case [1],[],[],,,,
1521881998-2,Sofmachine,,Not to be confused with Soft Machine,[],[],,,,
1521882525-259,Crosstalk,,Crosstalk Inc. (株式会社クロストーク) is a Hiroshima-based software company established in October 1979 and incorporated in May 1981. Kazuhisa Mitani (三谷和久) is the president. [1] [2],[],[],,,,
1521882437-216,Feelplus,,"feelplus Inc. (株式会社フィールプラス) was a Japanese game development company. It was originally established as Scarab (株式会社スカラベ) on May 1, 1992 [1], by UPL's Tsutomu Fuzisawa (藤沢勉), not long after that company went bankrupt. [2] After Tsutomu Fuzisawa passed away in 1998, his wife Noriko Fuzisawa (藤沢紀子), who had also worked at UPL, took charge of the company.",[],[],,,,
1521882053-29,Rit's,,"Rit's Co., Ltd. (有限会社リッツ) was established in June 1991 and incorporated in January 1992. Kensuke Suzuki (鈴木健介) is the president. [1]",[],[],,,,
1521882071-38,Radical Plan,,"Radical Plan Corp. (株式会社ラディカルプラン) was started in February 1991 by Kou Matsuda (松田康) after leaving Zap. [1] Evidence suggests this is the company that, as described by Harvest Moon creator Yasuhiro Wada, went under during the development of the original Harvest Moon after taking on too many projects. [2]",[],[],,,,
1521882324-161,ITDC,,"ITDC (International Technology Development Corporation) was a company in Santa Clara, California, United States, [1] founded [2] and headed by Roderick Macleod. [3]",['United States'],['Santa Clara'],,,,
1521882378-187,Helloween,,(有限会社ハロウィン) Tetsushi Nakamura (中村鉄嗣) and Takashi Kouno (河野隆司) seem to have been the core of this group.,[],[],,,,
1521882441-218,FACS Programming Services,,"FACS Programming Services, Inc. was a subsidiary of Ann Arbor, Michigan-based F.A.C.S. Inc. (assumed name of Finance, Accounting and Computer Service Inc. [1]). It was incorporated on September 1, 1985, and was located in Farmington Hills and later West Bloomfield Township, Michigan. [2]",[],"['Ann Arbor', 'Michigan', 'Farmington Hills', 'West Bloomfield Township', 'Michigan']",,,,
1521882041-23,Sakata SAS,,"Sakata SAS Co., Ltd. (酒田エス・エー・エス株式会社). Development subsidiary of SAS established in April 1985. [1] Primarily involved with programming, not so much the other aspects of game development (graphics, sound).",[],[],,,,
1521882630-310,Averett & Associates,,"Averett & Associates (referred herein as ""A&A"") consisted of husband and wife Ed Averett and Linda Averett. The name shows up in an feature from Video Games magazine about women in the video game industry. According to the article, Linda holds a degree in engineering physics and usually did the programming for A&A while Ed did the graphics. [1] However, it has been claimed elsewhere that Linda did not actually do any programming and was only given any credit by Ed so she would not feel left out. [2]",[],"['Linda', 'Linda']",,,,
1521882250-125,Magicpot,,"Magicpot Inc. (有限会社マジックポット) was established December 12, 2001 by Masahiko Sano (佐野正彦), previously of FlipFlop Productions. The company is based in Taito-ku, Tokyo.",[],['Tokyo'],,,,
1521882585-288,Boss Game Studios,,"Boss Game Studios, Inc. was based in Redmond, Washington. It was founded in 1994 as an ""independent offshoot"" of visual effects firm Boss Film Studios, which worked on such movies as Die Hard and Ghostbusters. [1] [2] [3] The company shut down in 2002, unable to find a publisher for its Xbox racing game. [4]",[],"['Redmond', 'Washington']",,,,
1521882365-181,Hot-B,,"Formerly the software planning section of advertising agency First Farmers, Hot-B Co., Ltd. (株式会社ホット・ビィ) was established as an independent company in 1983. [1] It is perhaps best remembered for its science fiction role-playing games and fishing games such as the Black Bass series. [2]",[],[],,,,
1521882711-346,Adventure Planning Service,,"Adventure Planning Service (冒険企画局, Bouken Kikaku Kyoku) was established on August 22, 1987, and is best known for tabletop RPGs and board games. It is also involved with book publishing, game development, graphic design, and event promotion. [1]",[],[],,,,
1521882468-231,EIM,,"EIM Ltd. (有限会社E.I.M) (""Entertainment Imagination and Magnificence"" [1]) was a game development company started by Kenji Eno (飯野賢治) after leaving Interlink. Frustrated with having to make games with licensed characters, he eventually shut it down. He would reemerge with another company, the more well-known Warp. [2]",[],[],,,,
1521882568-280,CAPS,,CAPS Inc. (有限会社キャプス),[],[],http://jp.linkedin.com/in/itohtak,,,
1521882112-58,Painting by Numbers,,"Painting by Numbers Limited was a Sheffield, England-based development company that consisted of Jay Beard, Chris Kerry, Steve Kerry, and Mark Rogers [1], all former members of Gremlin. They worked pretty much exclusively for Ocean and were later recruited to start up a new development team at Ocean of America. [2]",[],['Sheffield'],,,,
1521882566-279,Carpine,,"Carpine Inc. (株式会社カーパイン) was established July 1, 2005 in Setagaya, Tokyo by programmer Kureaki Takahashi (高橋呉明). Takahashi and most of the other staff previously worked at Dual.",[],"['Tokyo', 'Takahashi']",,,,
1521882193-97,Monolith,,Monolith Corp. (株式会社モノリス). Allegedly an SNK group company.,[],[],,,,
1521882328-163,Inter State,,"Inter State Co., Ltd. (株式会社インターステイト) was the consumer subsidiary of arcade game maker Kaneko. It was established in 1985. [1]",[],[],,,,
1521882030-18,Santos (2),,Santos Ltd. (株式会社サントス) appears to be another company started and headed by Takeshi Tozu (戸津猛) after his previous company of the same name was acquired by Sega.,[],[],,,,
1521882304-151,Japan System Supply,,"Japan System Supply Ltd. (日本システムサプライ株式会社) was an Osaka-based developer and publisher established on September 25, 1985, that also produced educational and Internet software (not included below). [1] The company went out of business around October 2000. [2] Katsumi Kawamura (河村克己) was the CEO. [3]",[],[],,,,
1521882195-98,Monarch Development,,"Santa Clara, California, United States-based company headed by Kenneth L. Hurley [1]",['United States'],['Santa Clara'],,,,
1521882451-223,Equilibrium,,"Founded in 1989, Equilibrium is a Sausalito, California, United States-based company involved in the development of automated media processing solutions. But in the early 1990s, it was also involved in video game development. Eventually, the company decided to get out of video games to focus on the DeBabelizer imaging software and laid off most of the game development staff as a result. [1]",['United States'],[],,,,
1521882057-31,Right Stuff,,"Right Stuff Co., Ltd. (株式会社ライトスタッフ) was established February 27, 1990 by a team of former Glodia staff, including writer and game designer Atsushi ""E.JUN"" Ii (飯淳) and illustrator Akihiro Kimura (木村明広), as a development subsidiary of Pandora Box. The company was headed by Tetsuro Shima (島哲郎), who had previously worked at Brain Grey, and was based in Shinagawa-ku, Tokyo.",[],['Tokyo'],,,,
1521882084-44,Prosoft,,"Prosoft Corporation (有限会社プロソフト) is a programming contractor based in Kita-ku, Osaka, Japan. It was established August 21, 1989 and is headed by Kenji Yoshitsugu (吉次研二).",['Japan'],[],,,,
1521882281-140,KAZe,,"See also Live Planning, KAZe's predecessor.",[],[],,,,
1521882199-100,Miraisoft,,Miraisoft Corporation (有限会社未来ソフト) was an affiliate company of ADK. [1] It operated out of the same office as ADK with the same development staff. Supposedly it was set up as a way to get around ADK's contract with SNK that stated they could only develop games for SNK's hardware or ports thereof. [2] [3],[],[],,,,
1521882392-194,Gordon Martin & Associates,,"Gordon Martin, along with Gary Littleton and others at GMA, were on the team at Texas Instruments that designed the ColecoVision.",[],[],,,,
1521882287-143,K-Idea,,"K-Idea, Inc. (有限会社ケイアイディア) was headed by Hajime Kimura (木村初). It was established around 1991, and seems to have closed down around 2000. Millennium Kitchen head Kaz Ayabe worked here for several years, and many former Givro staff seem to have moved here after that company closed down.",[],[],,,,
1521882141-72,Now Production,,"Now Production Co., Ltd. (株式会社ナウプロダクション) was founded on June 17, 1986. The company's first game was the Famicom version of Metro-Cross. [1] It has since done work for many of Japan's major industry players, including Namco, Hudson, and Konami, even developing installments of popular series such as Splatterhouse, Adventure Island, and Dance Dance Revolution. In recent years, Nowpro has started creating more original, independent titles like PQ: Practical Intelligence Quotient for the PlayStation Portable.",['Japan'],['Hudson'],,,,
1521882034-20,Santa Entertainment,,"Santa Entertainment Co., Ltd. (株式会社サンタエンタテイメント) was established January 1997. Zengo Matsui (松井善吾) is the head of the company. [1]",[],[],,,,
1521882373-185,Hidaka Electronics,,"Hidaka Electronics Co.,Ltd. (日高電子株式会社, Hidaka Denshi) was a programming and electronics design contractor established in October 1979, based in Kandasakuma-cho, Chiyoda-ku, Tokyo. The company president was Yasuaki Higuchi (樋口安明). [1]",[],['Tokyo'],,,,
1521882371-184,High Voltage Software,,(Note: Copied from MobyGames category expect for Adult part.),[],[],,,,
1521882531-262,CRC Research Institute,,"CRC Research Institute, Inc. (株式会社CRC総合研究所) was an information services company [1] originally established in November 1958 as Tokyo Electronic Computing Service Co., Ltd. In August 2001, it was renamed CRC Solutions Corp. CRC Solutions merged with Itochu Techno-Science Corporation in October 2006 to form Itochu Techno-Solutions Corporation. [2]",[],[],,,,
1521882316-157,IXI,,"IXI Co., Ltd. (株式会社アイ・エックス・アイ) was an IT company in Yodogawa-ku, Osaka, originally founded on July 15, 1989, as Xebex Union Co., Ltd. (株式会社ジーベックスユニオン) In December 1997, it became a subsidiary of leasing company Ichinen and changed its name to Ichinen Xebex Co., Ltd. (株式会社イチネン・ジーベックス) It was renamed IXI in July 1999. [1]",[],[],,,,
1521882055-30,Ringler Studios,,"Studio owned by Ed Ringler based in Costa Mesa, California. Started in 1990. [1] Previously went by the names Alpine Software and Alpine Studios.",[],['Costa Mesa'],http://www.edringler.com/,,,
1521882672-328,Aorn,,Aorn (株式会社アイオーン) was an Osaka developer founded in March 1995. Clients included Electronic Arts Victor and Panasonic Wondertainment. Futoshi Tamura (田村太) was the president. [1],[],['March'],,,,
1521882622-306,Barnhouse Effect,,"Barnhouse Effect Co.,Ltd. (株式会社バーンハウスエフェクト) was established March 31, 1997, as a game development and CG production subsidiary of Takara. The company is based in Toyoshima-ku, Tokyo, and is headed by Taro Odagiri (小田桐太郎), formerly of Telenet Japan and HighTech Lab. Japan. Following Takara's merger with Tomy, the company paid back Takara's investment and became fully independent on May 13, 2005.",['Japan'],"['March', 'Tokyo']",,,,
1521882285-142,Kaga Tech,,"This entry is dedicated to the development teams and offices of Naxat (株式会社ナグザット; aka Naxat Soft), later renamed Kaga Tech (加賀テック株式会社), a subsidiary of Kaga Electronics that was involved in game publishing and development.",[],[],,,,
1521882697-340,Aino,,Includes former members of Yumekobo and Santos. May be connected to former Aicom president Akio Inoue/AI Electronics.,[],['Santos'],,,,
1521882533-263,Craftsman Arts,,"Craftsman Arts Co., Ltd. (株式会社クラフトマンアーツ) Established November 1993 in Yokohama, Kanagawa, Japan, and headed by Kazuteru Ogawa (小川和輝). Primary business appears to have been programming for visual novels and eroge.",['Japan'],['Yokohama'],,,,
1521882535-264,CP.BRAiN,,"CP.BRAiN (株式会社シー・ピー・ブレイン) was a Japanese game development company started by former Aicom staff and most likely headed by Tokuhiro Takemori (竹森得泰). ""CP"" stands for ""Crash Power,"" if the high score tables in Chimera Beast and 64th. Street (AC) are to be believed.",[],[],,,,
1521882404-200,Geo Factory,,"Geo Factory Co., Ltd. (株式会社ジオファクトリー) was started in 1992 by Takaharu Mita (三田隆治) after leaving Genki, which he helped establish in 1990. The company worked on over 30 games. [1]",[],[],,,,
1521882092-48,POT,,"POT, inc. (株式会社ポット) was established January 21, 2003 by a group of staff from Highwaystar. The company was initially headed by Kenji Tsushima (対馬健司) and later by Hiroki Oshioka (押岡大樹). At first it was an associated company of Highwaystar but later become independent. In late 2007, it changed names to Agalbero (株式会社アガリベロ) but appears to have closed shortly thereafter. Some of the staff went to another company called NAC, headed by Tsushima.",[],['Tsushima'],,,,
1521882257-128,M2,,"M2 Co., Ltd. (有限会社エムツー) was established on August 8, 1991. [1] It is unique in its devotion to accurate emulation. (Not to be confused with another company involved with games called M2.)",[],[],,,,
1521882562-277,CCS,,A division of Pack-In-Video. [1] Allegedly a group of Waseda University students.,[],[],,,,
1521882724-351,Act Japan,,Act Japan (株式会社アクトジャパン) appears to have broken off of I.T.L around 1991. Kiyoshi Kusatsu was (is?) the president. [1],[],[],,,,
1521882227-114,Metro,,"Metro Corporation (株式会社メトロ) was established May 15, 1987 in Osaka, Japan and headed until 2013 by Tokutetsu Kanemitsu (金光德哲). In addition to its main Osaka office, the company also operates a Tokyo development office, which was established in 1996 with of a team of former Konami TYO staff. It also has a CG production office in South Korea called Metro Soft Seoul [1], established February 2013 and headed by Tsunenari Yada (矢田凡成).","['Japan', 'South Korea']",['Tokyo'],https://www.youtube.com/watch?v=opqfHjdIrQo,,,
1521882259-129,Logistics,,"Logistics, Inc. (株式会社ロジスティックス), established June 10, 1987, provides animation and artwork services for games and animation, and also develops tools software and mobile apps. The company's software team is called Edgeware and is headed by company president Eiichi Ishii (石井栄一). The art & animation team is called Team TillDawn (チームティルドーン) and is headed by Seiji Kishi (岸誠二). The company specializes in 2D background art, but also does pixel/dot animation as well as full-service animation production.",[],[],,,,
1521882556-274,Chime,,"Chime Corporation (有限会社チャイム) was established August 2, 1990 and is based in Shinjuku, Tokyo. The company is headed by Kenji Yoshida (吉田憲次) and Yoshiyuki Matsumoto (松本慈之).",[],['Tokyo'],,,,
1521882624-307,Banana Development,,"Banana Development Corporation was an independent developer based out of Brookfield, Wisconsin. [1] It was incorporated on September 4, 1987, and dissolved on December 28, 1991. [2] John Siegesmund was the president. [3]",[],['Brookfield'],,,,
1521882207-104,MindSpan,,"MindSpan Technologies Corporation was a software design and development company located in Vancouver, British Columbia, Canada, owned and operated by Mike Benna and Jeff Sember. [1]",['Canada'],['Vancouver'],,,,
1521882435-215,Feycraft,,"Feycraft (有限会社フェイクラフト) was established in 1994 by Riot/Telenet Japan planner Shojiro Endo (遠藤正二朗), along with a team of other Riot staff. The company went under in 2000, and Endo left the games industry shortly after, though he would eventually return in 2008 to establish the studio Witchcraft along with former Riot colleague and Wild Arms series director Akifumi Kaneko.",[],[],,,,
1521882096-50,Polestar,,"Polestar Co., Ltd. (株式会社ポーラスター)",[],[],,,,
1521882242-121,Manley & Associates,,null,[],[],,,,
1521882020-13,Sega Electronics,,"Sega Electronics, Inc. was an arcade game manufacturer and video game developer based in San Diego, California. It was originally incorporated in Delaware on April 3, 1970 [1], as Gremlin Industries, Inc. Partners Carl Grindle and Frank Fogleman intended to name the company ""Grindleman Industries;"" however, the person on the phone misheard it as ""Gremlin Industries,"" and the name stuck. [2]",[],"['San Diego', 'Delaware']",,,,
1521882147-75,NMK,,"Nihon Micom Kaihatsu (日本マイコン開発) was started in May 1985 by Tamio Nakasato, Yosuke Maki, and Yukio Kotoyori. It was incorporated in 1989 as NMK Co., Ltd. (株式会社エヌエムケイ) The company shifted to electromechanical games in the 1990s, then went bankrupt in 1999. [1] [2] [3]",[],[],,,,
1521882667-326,Applied Computer Technology,,"Applied Computer Technology, Inc. (ACT) is a company in Las Vegas, Nevada, started by programmer Peter Filiberti and a partner after the closure of Sunware Development. It was incorporated on February 10, 1984. [1] Filiberti was Vice President, Operations and principal. He sold the company in 1993. [2]",[],['Las Vegas'],,,,
1521882221-111,Micro Talent,,Research Methods: Actual mentions,[],[],,,,
1521882255-127,Magical,,"Magical Company Ltd. (魔法株式会社) was originally established in Kobe, Japan, in 1983. It was formally incorporated on May 29, 1985, as Home Data Corp. (株式会社ホームデータ). Home Data was renamed Magical in 1993, the company's tenth anniversary. [1]",['Japan'],['Kobe'],,,,
1521882176-89,NatsumeAtari,,"NatsumeAtari, Inc. (ナツメアタリ株式会社) is a publisher and developer based in Kita-ku, Osaka, which also has a development office in Nakamura-ku, Nagoya. The company is currently headed by executive chairman Takashi Matsumoto (松本隆司) and CEO Mitsuhiro Koide (小出光宏). It was originally established on October 20, 1987 [1], as Natsume Co., Ltd. (ナツメ株式会社) in Shinjuku-ku, Tokyo. The current NatsumeAtari is the result of an October 2013 merger with Atari [2], a company run by Matsumoto that was involved in the development of pachinko and slot machines. [3]",[],"['Nakamura', 'Tokyo', 'Matsumoto']",,,,
1521882719-349,ADK,,"ADK Corporation (株式会社エーディーケイ) was established in July 1980 as Alpha Denshi Co., Ltd. (アルファ電子株式会社). It changed names in 1992. Kazuo Arai (新井一夫) was the president. [1] As of 2001, Kazuo Arai, SNK, Mitsui & Co., and CSK Electronics were stockholders. Miraisoft (有限会社未来ソフト) and Alphasoft (アルフアーソフト株式会社) were affiliate companies. [2]",[],[],http://www2u.biglobe.ne.jp/~comefx99/gmaborosi.htm,,,
1521882388-192,Grand Prix,,"Grand Prix, inc. (有限会社グランプリ) was established on March 11, 2003 [1], as a spinoff of New. [2] It was headed by Ryuta Aoyagi (青柳龍太), previously a game designer and artist with New, and located in Kashiwa, Chiba. It filed for bankruptcy in 2012.",[],"['March', 'Kashiwa', 'Chiba']",,,,
1521882414-205,Gai Brain,,Gai Brain (有限会社ガイブレイン) was a Japanese development company started by former Santos staff led by president Tomohiro Ishigai (石谷友宏). [1],[],['Santos'],,,,
1521882439-217,Falcon,,"Iwakura, Aichi, Japan-based Falcon Co., Ltd. (ファルコン株式会社) was established in 1984 and incorporated in December 1988. As of October 2010, Falcon has worked on the following platforms: MSX2 (7 titles), PC-8801 (1), PC-9801 (10), FM Towns (5), J-3100 (3), X68000 (6), Macintosh (2), Windows (38), X55 (2), PC Engine CD-ROM² (6), PC Engine HuCard (1), Game Boy (5), Game Boy Color (2), Famicom (2), Super Famicom (8), PlayStation (16), PlayStation 2 (18), PlayStation 3 (1), PlayStation Portable (1), Game Gear (2), Sega Saturn (9), Dreamcast (6), i-appli (1), 組み込み (9). [1] It seems GDRI has barely scratched the surface.",['Japan'],['Iwakura'],,,,
1521882205-103,Mindware,,"Mindware Corp. (有限会社マインドウェア) was originally established in 1987 as M.N.M Software (有限会社M.N.Mソフトウェア). When founder/president Mikito Ichikawa (市川幹人; aka Micky G. Albert) became ill in 1993, the company was temporarily shut down. It reopened with its current name in 1995. In addition to developing video games, Mindware also leases and develops pinball machines.",[],[],,,,
1521882168-85,New Frontier,,null,[],[],,,,
1521882045-25,Rutubo Games,,"Rutubo Games (ゲームのるつぼ有限会社) was established in 1994 by Masatoshi Hashimoto (橋本雅俊), along with a team of programmers including Shinichiro Mukaigashira (向頭真一郎), Tetsu Matsushima (松島徹), and Takeshi Maeda (前田武志); several of the staff had previously worked at Dempa Shimbunsha. The company was originally based in Osaka, but has since moved to Tokyo. Game development was moved to another company called Rutubo Game Works Co., Ltd. (るつぼゲームワークス有限会社) around 2010, while the systems infrastructure work appears to still be done by Rutubo Games.",[],['Tokyo'],,,,
1521882523-258,Crux,,"Crux (クラックス) was started by Orca's software team after that company went bankrupt and was thrown out of its building. After doing Gyrodine, Crux ran into financial difficulties and would eventually go bankrupt as well. With such uncertainty, the chief programmer on Gyrodine and two others left for Toa Kikaku and started a software division which became Toaplan. Tatsuya Uemura (上村建也) was invited over but did not leave until after he finished working on Repulse. [1]",[],[],,,,
1521882661-323,Arc System Works,,"Arc System Works Co., Ltd. (アークシステムワークス株式会社) is a publisher and developer based in Yokohama, Japan, with a European office in Bristol, UK. [1] Minoru Kidooka (木戸岡稔) is president. [2] The company was established in May 1988 as Arc Co., Ltd. (株式会社アーク) In 1991, it was renamed and moved from the Nishi ward to the Kohoku ward. [3]",['Japan'],"['Yokohama', 'Bristol']",https://www.youtube.com/watch?v=9cP6HH8EDkY,,,
1521882736-357,64WD Creation,,"64WD Creation SARL was a development company in Annecy, France, [1] started by Pascal Jarry, formerly of Loriciel. Jarry was quickly poached by Sony Computer Entertainment Europe. [2]",['France'],['Annecy'],,,,
1521882063-34,Realtime Associates Seattle Division,,"Realtime Associates Seattle Division was founded in April 1994 by Steve Ettinger after he was asked by Realtime Associates founder Dave Warhol to open an office in the Seattle area. Ettinger previously worked for Realtime as a full-time contractor, programming games for the Intellivision, Game Boy, and Game Gear. The Division was sold to KnowWonder in 1999. [1]",[],['Seattle'],,,,
